NBC,,,,,,,,,,,,,,,,,,,,,,,F280,,,,,,,,,,,,,,,,,,,,,
Location,Prov,Elev (m),Latitude,Longitude,Elevation (m),January 2.5% DB (°C),January 1% DB (°C),July 2.5% DB (°C),July 2.5% WB (°C),Future July 2.5% DB (°C),Degree-Days below 18 °C,15 min. Rain (mm),"One day rain, 1/50 (mm)",Annual Rain (mm),Moist Index,Annual total precipitation (mm),"Driving rain wind pressures (Pa), 1/5","S_s Snow Load (kPa), 1/5","S_r Snow Load (kPa), 1/5","Hourly wind pressures (kPa), 1/10","Hourly wind pressures (kPa), 1/50",Climate_Zone,City,Region,DegDay,DHDBT,DCDBT,Strange,OHR,DGTEMP,JanWind,JulWind,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Victoria Gonzales Height,BC,65,48.42,-123.32,65,-4,-6,24,17,30,2700,9,91,600,0.8,625,220,1.5,0.3,0.46,0.57,CZ4,Victoria Gonzales Height,BC,2700,-4,24,7,9,12,15,15,6,6,8,10,12,15,16,16,15,11,8,6
Victoria Mt Tolmie,BC,125,48.47,-123.33,125,-6,-8,24,16,30,2700,9,91,775,1,800,220,2.1,0.3,0.46,0.57,CZ4,Victoria Mt Tolmie,BC,2700,-6,24,9,8,13,7,6,6,6,8,10,13,16,19,18,16,11,7,5
Whistler,BC,665,50.12,-122.96,665,-17,-20,30,20,36,4180,10,85,845,1,1215,160,9.5,0.9,0.24,0.32,CZ6,Whistler,BC,4180,-17,30,14,11,9,3,5,-3,-1,2,6,10,13,16,16,12,7,1,-3
White Rock,BC,30,49.02,-122.8,30,-5,-7,25,20,31,2620,10,80,1065,1.2,1100,160,2,0.2,0.33,0.44,CZ4,White Rock,BC,2620,-5,25,8,13,12,7,5,5,6,8,10,13,16,18,18,15,11,7,5
Williams Lake,BC,615,52.13,-122.15,615,-30,-33,29,17,34,4400,10,48,350,0.5,425,80,2.4,0.2,0.27,0.35,CZ6,Williams Lake,BC,4400,-30,29,12,7,7,10,8,-7,-4,0,5,10,13,16,15,11,5,-3,-7
Youbou,BC,200,48.88,-124.2,200,-5,-8,31,19,36,3050,10,161,2000,2.1,2100,200,3.5,0.7,0.26,0.32,CZ5,Youbou,BC,3050,-5,31,12,9,10,4,9,3,4,6,8,12,15,17,18,15,10,5,3
Athabasca,AB,515,54.72,-113.28,515,-35,-38,27,19,32,6000,18,86,370,0.6,480,80,1.5,0.1,0.27,0.36,CZ7B,Athabasca,AB,6000,-35,27,12,11,5,10,10,-15,-11,-4,4,11,14,16,15,10,4,-6,-13
Banff,AB,1400,51.17,-115.57,1400,-31,-33,27,16,33,5500,18,65,300,0.6,500,120,3.3,0.1,0.26,0.32,CZ7A,Banff,AB,5500,-31,27,14,7,5,10,8,-9,-7,-3,3,7,11,15,14,9,3,-4,-9
Barrhead,AB,645,54.13,-114.4,645,-33,-36,27,19,32,5740,20,86,375,0.6,475,100,1.7,0.1,0.35,0.44,CZ7A,Barrhead,AB,5740,-33,27,12,11,5,8,9,-11,-11,-6,1,11,13,17,13,12,5,-3,-10
Beaverlodge,AB,730,55.22,-119.43,730,-36,-39,28,18,33,5700,20,86,315,0.5,470,100,2.4,0.1,0.27,0.36,CZ7A,Beaverlodge,AB,5700,-36,28,12,9,5,10,12,-13,-10,-4,4,10,13,15,14,10,4,-6,-11
Brooks,AB,760,50.58,-111.88,760,-32,-34,32,20,37,4880,18,86,260,0.3,340,220,1.2,0.1,0.35,0.44,CZ6,Brooks,AB,4880,-32,32,14,10,7,13,12,-11,-7,-2,6,11,16,19,18,13,6,-2,-7
Calgary,AB,1045,51.05,-114.08,1045,-30,-32,28,17,34,5000,23,103,325,0.4,425,220,1.1,0.1,0.38,0.48,CZ7A,Calgary,AB,5000,-30,28,12,8,6,15,14,-7,-5,-2,5,10,14,16,16,11,5,-3,-6
Campsie,AB,660,54.13,-114.65,660,-33,-36,27,19,32,5750,20,86,375,0.6,475,100,1.7,0.1,0.33,0.44,CZ7A,Campsie,AB,5750,-33,27,14,11,5,10,12,-14,-11,-4,4,10,14,16,15,10,4,-6,-12
Camrose,AB,740,53.02,-112.83,740,-33,-35,29,19,34,5500,20,86,355,0.5,470,160,2,0.1,0.31,0.39,CZ7A,Camrose,AB,5500,-33,29,13,10,5,11,12,-14,-10,-6,4,10,14,17,15,10,3,-5,-10
Canmore,AB,1320,51.09,-115.35,1320,-31,-33,28,17,34,5400,18,86,325,0.6,500,120,3.2,0.1,0.3,0.37,CZ7A,Canmore,AB,5400,-31,28,14,8,6,10,8,-10,-7,-3,3,7,11,15,14,9,3,-4,-9
Cardston,AB,1130,49.2,-113.3,1130,-29,-32,30,19,35,4700,20,108,340,0.4,550,140,1.5,0.1,0.58,0.72,CZ6,Cardston,AB,4700,-29,30,13,9,7,13,11,-5,-3,-1,5,10,14,18,17,12,6,0,-3
Claresholm,AB,1030,50.03,-113.58,1030,-30,-32,30,18,35,4680,15,97,310,0.4,440,200,1.3,0.1,0.46,0.58,CZ6,Claresholm,AB,4680,-30,30,15,8,6,13,12,-8,-4,-2,5,10,14,18,17,12,6,-1,-5
Cold Lake,AB,540,54.45,-110.17,540,-35,-38,28,19,33,5860,18,81,320,0.5,430,140,1.7,0.1,0.29,0.38,CZ7A,Cold Lake,AB,5860,-35,28,11,10,4,9,11,-16,-12,-5,4,10,15,17,16,10,3,-7,-13
Coleman,AB,1320,49.63,-114.5,1320,-31,-34,29,18,34,5210,15,86,400,0.5,550,120,2.7,0.3,0.5,0.63,CZ7A,Coleman,AB,5210,-31,29,15,8,7,14,10,-8,-5,-1,3,8,12,14,14,10,5,-3,-7
Coronation,AB,790,52.08,-111.45,790,-32,-34,30,19,36,5640,20,92,300,0.5,400,200,1.9,0.1,0.3,0.37,CZ7A,Coronation,AB,5640,-32,30,13,9,5,17,15,-14,-12,-5,4,10,14,17,16,10,4,-7,-12
Cowley,AB,1175,49.57,-114.08,1175,-29,-32,29,18,34,4810,15,92,310,0.4,525,140,1.6,0.1,0.81,1.01,CZ6,Cowley,AB,4810,-29,29,15,8,6,26,18,-10,-6,-2,3,9,13,16,16,10,5,-2,-6
Drumheller,AB,685,51.47,-112.7,685,-32,-34,30,18,36,5050,20,86,300,0.4,375,220,1.2,0.1,0.35,0.44,CZ7A,Drumheller,AB,5050,-32,30,14,8,5,7,10,-13,-8,-3,6,11,16,19,18,13,5,-3,-9
Edmonton,AB,645,53.55,-113.47,645,-30,-33,28,19,34,5120,23,97,360,0.5,460,160,1.7,0.1,0.36,0.45,CZ7A,Edmonton,AB,5120,-30,28,10,10,5,11,12,-11,-8,-3,5,11,15,18,17,11,5,-4,-9
Edson,AB,920,53.58,-116.43,920,-34,-37,27,18,32,5750,18,81,450,0.6,570,100,2.1,0.1,0.37,0.46,CZ7A,Edson,AB,5750,-34,27,13,9,5,7,8,-11,-8,-4,3,8,13,15,14,9,3,-6,-10
Embarras Portage,AB,220,58.45,-111.47,220,-41,-43,28,19,32,7100,12,81,250,0.6,390,80,2.2,0.1,0.28,0.37,CZ8,Embarras Portage,AB,7100,-41,28,11,10,3,10,12,-22,-17,-9,1,9,14,17,15,9,1,-10,-19
Fairview,AB,670,56.07,-118.38,670,-37,-40,27,18,32,5840,15,86,330,0.5,450,100,2.4,0.1,0.26,0.35,CZ7A,Fairview,AB,5840,-37,27,11,9,4,10,10,-14,-11,-5,4,11,14,16,15,10,4,-7,-12
Fort MacLeod,AB,945,49.72,-113.42,945,-30,-32,31,19,36,4600,16,97,300,0.4,425,180,1.2,0.1,0.54,0.68,CZ6,Fort MacLeod,AB,4600,-30,31,15,9,8,21,16,-7,-4,0,6,11,15,18,17,12,7,-1,-6
Fort McMurray,AB,255,56.73,-111.38,255,-38,-40,28,19,33,6250,13,86,340,0.5,460,60,1.5,0.1,0.28,0.35,CZ7B,Fort McMurray,AB,6250,-38,28,12,10,4,8,9,-18,-13,-6,3,10,15,17,15,10,2,-9,-15
Fort Saskatchewan,AB,610,53.72,-113.22,610,-32,-35,28,19,34,5420,20,86,350,0.5,425,140,1.6,0.1,0.34,0.43,CZ7A,Fort Saskatchewan,AB,5420,-32,28,13,10,5,13,12,-13,-10,-4,5,11,15,17,16,11,5,-6,-12
Fort Vermilion,AB,270,58.4,-116,270,-41,-43,28,18,32,6700,13,70,250,0.5,380,60,2.1,0.1,0.23,0.3,CZ7B,Fort Vermilion,AB,6700,-41,28,12,9,4,8,6,-22,-17,-10,2,11,15,17,15,9,2,-10,-20
Grande Prairie,AB,650,55.17,-118.8,650,-36,-39,27,18,32,5790,20,86,315,0.5,450,120,2.2,0.1,0.32,0.43,CZ7A,Grande Prairie,AB,5790,-36,27,12,9,5,9,12,-14,-11,-5,4,10,14,16,15,10,4,-7,-11
Habay,AB,335,58.83,-118.73,335,-41,-43,28,18,32,6750,13,70,275,0.5,425,60,2.4,0.1,0.23,0.3,CZ7B,Habay,AB,6750,-41,28,13,9,4,8,6,-26,-20,-14,2,11,14,15,14,7,2,-13,-18
Hardisty,AB,615,52.67,-111.3,615,-33,-36,30,19,36,5640,20,81,325,0.5,425,140,1.7,0.1,0.29,0.36,CZ7A,Hardisty,AB,5640,-33,30,13,9,5,12,13,-17,-12,-7,3,11,15,16,17,9,5,-6,-13
High River,AB,1040,50.58,-113.87,1040,-31,-32,28,17,33,4900,18,97,300,0.4,425,200,1.3,0.1,0.52,0.65,CZ6,High River,AB,4900,-31,28,15,8,6,17,15,-8,-6,-2,4,9,13,15,15,10,5,-2,-7
Hinton,AB,990,53.4,-117.58,990,-34,-38,27,17,33,5500,13,81,375,0.6,500,100,2.6,0.1,0.37,0.46,CZ7A,Hinton,AB,5500,-34,27,15,8,6,9,8,-12,-8,-4,3,8,11,14,13,9,4,-6,-8
Jasper,AB,1060,52.88,-118.08,1060,-31,-34,28,17,34,5300,12,76,300,0.5,400,80,3,0.1,0.26,0.32,CZ7A,Jasper,AB,5300,-31,28,12,8,6,9,8,-8,-5,-1,4,9,13,15,14,10,4,-4,-9
Keg River,AB,420,57.75,-117.62,420,-40,-42,28,18,32,6520,13,70,310,0.5,450,80,2.4,0.1,0.23,0.3,CZ7B,Keg River,AB,6520,-40,28,15,9,4,9,10,-19,-14,-7,3,9,14,15,14,9,1,-12,-16
Lac la Biche,AB,560,54.77,-111.97,560,-35,-38,28,19,33,6100,15,86,375,0.6,475,80,1.6,0.1,0.27,0.36,CZ7B,Lac la Biche,AB,6100,-35,28,12,10,4,7,9,-16,-11,-6,3,10,14,17,16,11,4,-6,-13
Lacombe,AB,855,52.47,-113.73,855,-33,-36,28,19,34,5500,23,92,350,0.5,450,180,1.9,0.1,0.32,0.4,CZ7A,Lacombe,AB,5500,-33,28,13,10,5,10,11,-13,-9,-5,4,9,13,16,15,10,4,-5,-9
Lethbridge,AB,910,49.7,-112.82,910,-30,-32,31,19,36,4500,20,97,250,0.3,390,200,1.2,0.1,0.53,0.66,CZ6,Lethbridge,AB,4500,-30,31,14,9,8,20,15,-6,-4,0,6,11,15,18,18,13,7,-1,-5
Manning,AB,465,56.92,-117.62,465,-39,-41,27,18,32,6300,13,76,280,0.5,390,80,2.3,0.1,0.23,0.3,CZ7B,Manning,AB,6300,-39,27,11,9,4,10,11,-18,-13,-7,3,10,14,16,15,10,2,-9,-14
Medicine Hat,AB,705,50.05,-110.67,705,-31,-34,32,19,37,4540,23,92,250,0.3,325,220,1.1,0.1,0.38,0.48,CZ6,Medicine Hat,AB,4540,-31,32,13,8,8,14,13,-9,-5,0,7,12,17,20,19,13,7,-2,-7
Peace River,AB,330,56.23,-117.28,330,-37,-40,27,18,32,6050,15,81,300,0.5,390,100,2.2,0.1,0.24,0.32,CZ7B,Peace River,AB,6050,-37,27,12,9,4,12,12,-15,-12,-6,4,10,14,16,15,10,3,-8,-12
Pincher Creek,AB,1130,49.48,-113.95,1130,-29,-32,29,18,34,4740,16,103,325,0.4,575,140,1.5,0.1,0.77,0.96,CZ6,Pincher Creek,AB,4740,-29,29,13,8,6,26,18,-6,-3,-2,4,9,13,17,17,12,6,-1,-4
Ranfurly,AB,670,53.42,-111.68,670,-34,-37,29,19,34,5700,18,92,325,0.5,420,100,1.9,0.1,0.29,0.36,CZ7A,Ranfurly,AB,5700,-34,29,12,10,5,12,12,-14,-12,-6,4,11,15,17,16,10,5,-6,-13
Red Deer,AB,855,52.27,-113.8,855,-32,-35,28,19,34,5550,20,97,375,0.5,475,200,1.8,0.1,0.32,0.4,CZ7A,Red Deer,AB,5550,-32,28,13,10,5,12,12,-12,-9,-4,4,10,14,16,15,10,4,-5,-10
Rocky Mountain House,AB,985,52.37,-114.92,985,-32,-34,27,18,33,5640,20,92,425,0.6,550,120,1.9,0.1,0.29,0.36,CZ7A,Rocky Mountain House,AB,5640,-32,27,13,9,5,7,8,-12,-9,-5,3,8,12,15,14,9,3,-6,-10
Slave Lake,AB,590,55.28,-114.77,590,-35,-38,26,19,31,5850,15,81,380,0.6,500,80,1.9,0.1,0.28,0.37,CZ7A,Slave Lake,AB,5850,-35,26,11,11,4,15,12,-13,-10,-5,3,9,14,16,15,10,3,-6,-12
Stettler,AB,820,52.32,-112.72,820,-32,-34,30,19,36,5300,20,97,370,0.5,450,200,1.9,0.1,0.29,0.36,CZ7A,Stettler,AB,5300,-32,30,14,9,5,16,13,-13,-9,-3,5,10,14,16,16,11,5,-5,-11
Stony Plain,AB,710,53.53,-114,710,-32,-35,28,19,33,5300,23,97,410,0.5,540,120,1.7,0.1,0.36,0.45,CZ7A,Stony Plain,AB,5300,-32,28,11,10,5,11,10,-12,-8,-3,5,11,15,16,16,11,5,-4,-10
Suffield,AB,755,50.2,-111.17,755,-31,-34,32,20,37,4770,20,86,230,0.2,325,220,1.3,0.1,0.39,0.49,CZ6,Suffield,AB,4770,-31,32,15,10,8,18,18,-11,-7,-1,6,12,16,19,19,13,7,-3,-9
Taber,AB,815,49.78,-112.15,815,-31,-33,31,19,36,4580,20,92,260,0.3,370,200,1.2,0.1,0.5,0.63,CZ6,Taber,AB,4580,-31,31,15,9,8,19,13,-9,-4,-1,6,12,16,19,18,13,7,-1,-6
Turner Valley,AB,1215,50.67,-114.28,1215,-31,-32,28,17,33,5220,20,97,350,0.5,600,180,1.4,0.1,0.52,0.65,CZ7A,Turner Valley,AB,5220,-31,28,15,8,5,17,15,-10,-7,-3,2,7,11,13,13,9,4,-3,-9
Valleyview,AB,700,55.07,-117.28,700,-37,-40,27,18,32,5600,18,86,360,0.5,490,80,2.3,0.1,0.34,0.42,CZ7A,Valleyview,AB,5600,-37,27,13,9,4,15,13,-13,-9,-2,5,10,14,16,15,10,5,-4,-11
Vegreville,AB,635,53.5,-112.05,635,-34,-37,29,19,34,5780,18,86,325,0.5,410,100,1.9,0.1,0.29,0.36,CZ7A,Vegreville,AB,5780,-34,29,13,10,5,12,13,-15,-11,-6,4,10,14,17,15,10,3,-6,-11
Vermilion,AB,580,53.37,-110.85,580,-35,-38,29,19,35,5740,18,86,310,0.5,410,100,1.7,0.1,0.29,0.36,CZ7A,Vermilion,AB,5740,-35,29,13,10,5,12,12,-18,-14,-7,4,11,15,16,15,10,4,-5,-14
Wagner,AB,585,55.35,-114.98,585,-35,-38,26,19,31,5850,15,81,380,0.6,500,80,1.9,0.1,0.28,0.37,CZ7A,Wagner,AB,5850,-35,26,12,11,4,15,12,-13,-10,-5,3,9,14,16,15,10,3,-6,-12
Wainwright,AB,675,52.82,-110.87,675,-33,-36,29,19,35,5700,20,81,310,0.5,425,120,2,0.1,0.29,0.36,CZ7A,Wainwright,AB,5700,-33,29,12,10,5,12,13,-14,-9,-6,5,10,15,18,17,11,4,-4,-11
Wetaskiwin,AB,760,52.97,-113.37,760,-33,-35,29,19,34,5500,23,86,400,0.6,500,160,2,0.1,0.31,0.39,CZ7A,Wetaskiwin,AB,5500,-33,29,13,10,5,10,11,-15,-11,-6,3,11,15,16,16,9,5,-6,-12
Whitecourt,AB,690,54.15,-115.68,690,-33,-36,27,19,32,5650,20,97,440,0.6,550,80,1.9,0.1,0.28,0.37,CZ7A,Whitecourt,AB,5650,-33,27,12,11,5,7,8,-12,-8,-3,4,10,14,16,14,9,4,-7,-11
Wimborne,AB,975,51.87,-113.58,975,-31,-34,29,18,35,5310,23,92,325,0.5,450,200,1.6,0.1,0.32,0.4,CZ7A,Wimborne,AB,5310,-31,29,13,8,5,15,14,-13,-9,-6,2,10,14,16,15,10,4,-5,-9
Assiniboia,SK,740,49.63,-105.98,740,-32,-34,31,21,36,5180,25,81,290,0.3,375,240,1.6,0.1,0.39,0.49,CZ7A,Assiniboia,SK,5180,-32,31,13,12,7,18,14,-12,-9,-4,5,11,16,19,19,13,5,-3,-9
Battrum,SK,700,50.55,-108.33,700,-32,-34,32,20,37,5080,23,81,270,0.4,350,260,1.2,0.1,0.43,0.54,CZ7A,Battrum,SK,5080,-32,32,14,10,6,20,15,-13,-10,-3,5,12,16,19,18,12,6,-4,-10
Biggar,SK,645,52.07,-108,645,-34,-36,30,20,35,5720,23,81,270,0.4,350,180,2.1,0.1,0.36,0.45,CZ7A,Biggar,SK,5720,-34,30,13,11,6,12,13,-16,-13,-5,4,11,16,18,17,11,5,-6,-14
Broadview,SK,600,50.37,-102.58,600,-34,-35,30,21,35,5760,25,103,320,0.5,420,160,1.7,0.1,0.36,0.46,CZ7A,Broadview,SK,5760,-34,30,12,12,6,17,14,-15,-12,-6,4,11,16,18,17,11,4,-6,-12
Dafoe,SK,530,51.75,-104.53,530,-35,-37,29,21,34,5860,20,92,300,0.5,380,140,1.7,0.1,0.29,0.37,CZ7A,Dafoe,SK,5860,-35,29,12,12,5,14,12,-17,-13,-6,3,11,16,18,17,11,4,-6,-14
Dundurn,SK,525,51.82,-106.5,525,-35,-37,30,21,35,5600,23,86,275,0.4,380,180,1.5,0.1,0.36,0.46,CZ7A,Dundurn,SK,5600,-35,30,12,12,6,14,13,-16,-12,-5,-5,11,16,18,17,11,4,-6,-14
Estevan,SK,565,49.13,-102.98,565,-32,-34,32,22,37,5340,28,92,330,0.4,420,200,1.6,0.1,0.41,0.52,CZ7A,Estevan,SK,5340,-32,32,13,13,6,18,14,-14,-10,-4,5,12,17,19,19,12,5,-5,-11
Hudson Bay,SK,370,52.85,-102.38,370,-36,-38,29,21,34,6280,20,81,340,0.6,450,80,2,0.1,0.29,0.37,CZ7B,Hudson Bay,SK,6280,-36,29,13,12,5,11,11,-18,-14,-7,2,9,14,18,16,11,3,-7,-15
Humboldt,SK,565,52.2,-105.12,565,-36,-38,28,21,33,6000,20,86,320,0.5,375,140,2.1,0.1,0.31,0.39,CZ7B,Humboldt,SK,6000,-36,28,13,13,5,14,13,-17,-14,-7,3,11,15,17,16,11,4,-7,-15
Island Falls,SK,305,55.53,-102.35,305,-39,-41,27,20,32,7100,18,76,370,0.6,510,80,2.1,0.1,0.26,0.35,CZ8,Island Falls,SK,7100,-39,27,12,12,4,10,13,-23,-19,-11,0,8,14,17,16,9,2,-9,-20
Kamsack,SK,455,51.57,-101.9,455,-34,-37,29,22,34,6040,20,97,360,0.6,450,120,2.1,0.2,0.32,0.4,CZ7B,Kamsack,SK,6040,-34,29,14,14,5,13,11,-19,-15,-8,3,11,16,18,17,11,4,-7,-16
Kindersley,SK,685,51.47,-109.17,685,-33,-35,31,20,36,5550,23,81,260,0.4,325,200,1.4,0.1,0.36,0.46,CZ7A,Kindersley,SK,5550,-33,31,13,10,6,14,14,-14,-11,-4,5,11,15,18,17,12,4,-6,-11
Lloydminster,SK,645,53.28,-110,645,-34,-37,28,20,34,5880,18,81,310,0.5,430,120,2,0.1,0.32,0.4,CZ7A,Lloydminster,SK,5880,-34,28,12,11,5,15,14,-14,-11,-6,4,10,15,17,16,10,3,-7,-12
Maple Creek,SK,765,49.92,-109.48,765,-31,-34,31,20,36,4780,25,81,275,0.3,380,220,1.2,0.1,0.36,0.45,CZ6,Maple Creek,SK,4780,-31,31,14,10,7,13,13,-9,-6,-2,6,10,15,19,18,13,6,-2,-6
Meadow Lake,SK,480,54.13,-108.43,480,-38,-40,28,20,33,6280,18,81,320,0.5,450,120,1.7,0.1,0.3,0.4,CZ7B,Meadow Lake,SK,6280,-38,28,12,11,4,11,11,-17,-14,-7,4,10,15,17,16,10,3,-8,-15
Melfort,SK,455,52.87,-104.62,455,-36,-38,28,21,33,6050,20,81,310,0.5,410,120,2.1,0.1,0.28,0.36,CZ7B,Melfort,SK,6050,-36,28,12,13,5,15,13,-17,-13,-8,3,10,15,18,17,11,3,-6,-13
Melville,SK,550,50.92,-102.8,550,-34,-36,29,21,34,5880,23,97,340,0.5,410,160,1.7,0.1,0.32,0.4,CZ7A,Melville,SK,5880,-34,29,13,12,5,15,13,-20,-15,-8,3,11,16,18,16,11,5,-6,-15
Moose Jaw,SK,545,50.4,-105.53,545,-32,-34,31,21,36,5270,25,86,270,0.3,360,200,1.4,0.1,0.41,0.52,CZ7A,Moose Jaw,SK,5270,-32,31,14,12,7,18,15,-12,-9,-4,6,11,15,19,18,13,5,-3,-8
Nipawin,SK,365,53.37,-104,365,-37,-39,28,21,33,6300,20,76,340,0.6,450,100,2,0.1,0.3,0.38,CZ7B,Nipawin,SK,6300,-37,28,12,13,5,13,12,-18,-15,-7,3,11,16,18,16,10,3,-9,-17
North Battleford,SK,545,52.78,-108.28,545,-34,-36,29,20,34,5900,20,81,280,0.5,370,120,1.7,0.1,0.36,0.46,CZ7A,North Battleford,SK,5900,-34,29,12,11,5,12,13,-16,-12,-6,4,11,15,18,17,11,4,-7,-14
Prince Albert,SK,435,53.2,-105.77,435,-37,-40,28,21,33,6100,20,81,320,0.5,410,140,1.9,0.1,0.3,0.38,CZ7B,Prince Albert,SK,6100,-37,28,12,13,5,10,12,-17,-14,-7,3,10,15,18,17,11,3,-7,-15
Qu'Appelle,SK,645,50.55,-103.88,645,-34,-36,30,22,35,5620,25,97,340,0.5,430,160,1.7,0.1,0.33,0.42,CZ7A,Qu'Appelle,SK,5620,-34,30,13,13,6,18,14,-15,-12,-5,4,11,16,18,18,12,5,-6,-13
Regina,SK,575,50.45,-104.62,575,-34,-36,31,21,36,5600,28,103,300,0.4,365,200,1.4,0.1,0.39,0.49,CZ7A,Regina,SK,5600,-34,31,13,12,6,19,16,-15,-12,-5,5,11,16,19,18,12,4,-5,-12
Rosetown,SK,595,51.55,-108,595,-34,-36,31,20,36,5620,23,81,260,0.4,330,200,1.7,0.1,0.39,0.49,CZ7A,Rosetown,SK,5620,-34,31,14,10,6,15,14,-16,-12,-6,4,10,15,18,17,12,4,-5,-11
Saskatoon,SK,500,52.12,-106.63,500,-35,-37,30,21,35,5700,23,86,265,0.4,350,160,1.7,0.1,0.36,0.46,CZ7A,Saskatoon,SK,5700,-35,30,13,12,6,15,14,-16,-12,-6,5,11,16,18,17,11,4,-6,-13
Scott,SK,645,52.37,-108.83,645,-34,-36,30,20,35,5960,20,81,270,0.4,360,140,1.9,0.1,0.36,0.45,CZ7A,Scott,SK,5960,-34,30,13,11,5,12,13,-15,-11,-7,4,10,14,18,17,11,3,-5,-11
Strasbourg,SK,545,51.07,-104.95,545,-34,-36,30,22,35,5600,25,92,300,0.4,390,180,1.5,0.1,0.33,0.42,CZ7A,Strasbourg,SK,5600,-34,30,13,13,6,14,12,-17,-12,-5,4,12,17,19,18,11,5,-5,-13
Swift Current,SK,750,50.28,-107.8,750,-31,-34,31,20,36,5150,25,81,260,0.3,350,240,1.4,0.1,0.43,0.54,CZ7A,Swift Current,SK,5150,-31,31,12,10,6,22,17,-11,-8,-3,5,11,15,18,18,12,5,-3,-8
Uranium City,SK,265,59.57,-108.62,265,-42,-44,26,19,30,7500,12,54,300,0.6,360,100,2,0.1,0.27,0.36,CZ8,Uranium City,SK,7500,-42,26,10,11,3,8,11,-24,-19,-13,-3,5,13,16,14,8,0,-11,-18
Weyburn,SK,575,49.67,-103.85,575,-33,-35,31,23,36,5400,28,97,320,0.4,400,200,1.8,0.1,0.38,0.48,CZ7A,Weyburn,SK,5400,-33,31,13,14,6,18,15,-15,-11,-6,5,11,16,19,19,13,5,-4,-11
Yorkton,SK,510,51.22,-102.47,510,-34,-37,29,21,34,6000,23,97,350,0.5,440,140,1.9,0.1,0.32,0.4,CZ7B,Yorkton,SK,6000,-34,29,12,12,5,14,12,-17,-13,-7,3,10,15,18,17,11,4,-7,-14
Beausejour,MB,245,50.07,-96.52,245,-33,-35,29,23,33,5680,28,103,430,0.6,530,180,2,0.2,0.32,0.41,CZ7A,Beausejour,MB,5680,-33,29,13,15,6,13,11,-18,-14,-6,4,12,17,19,18,12,5,-5,-15
Boissevain,MB,510,49.23,-100.05,510,-32,-34,30,23,34,5500,28,119,390,0.5,510,180,2.2,0.2,0.41,0.52,CZ7A,Boissevain,MB,5500,-32,30,12,15,6,14,12,-17,-13,-5,4,12,17,19,18,13,6,-4,-13
Brandon,MB,395,49.83,-99.95,395,-33,-35,30,22,35,5760,28,108,375,0.6,460,180,2.1,0.2,0.39,0.49,CZ7A,Brandon,MB,5760,-33,30,13,13,6,15,12,-17,-13,-6,4,11,16,18,18,12,4,-6,-14
Churchill,MB,10,58.75,-94.12,10,-38,-40,25,18,29,8950,12,76,265,0.8,410,260,3,0.2,0.43,0.55,CZ8,Churchill,MB,8950,-38,25,8,10,-1,22,18,-27,-25,-19,-10,-1,7,12,12,6,-1,-13,-22
Dauphin,MB,295,51.15,-100.05,295,-33,-35,30,22,35,5900,28,103,400,0.6,490,160,1.9,0.2,0.32,0.4,CZ7A,Dauphin,MB,5900,-33,30,12,13,5,15,13,-16,-12,-6,4,11,16,19,18,12,5,-6,-13
Flin Flon,MB,300,54.77,-101.88,300,-38,-40,27,20,32,6440,18,81,340,0.6,475,80,2.2,0.2,0.28,0.35,CZ7B,Flin Flon,MB,6440,-38,27,10,12,4,9,11,-20,-15,-8,2,10,16,19,17,10,3,-8,-18
Gimli,MB,220,50.64,-96.99,220,-34,-36,29,23,33,5800,28,108,410,0.7,530,180,1.9,0.2,0.32,0.4,CZ7A,Gimli,MB,5800,-34,29,11,15,6,15,13,-17,-14,-7,3,10,16,19,18,12,5,-5,-14
Island Lake,MB,240,53.87,-94.67,240,-36,-38,27,20,31,6900,18,86,380,0.7,550,80,2.6,0.2,0.29,0.37,CZ7B,Island Lake,MB,6900,-36,27,9,12,4,10,10,-22,-19,-11,-1,8,14,18,17,10,2,-8,-17
Lac du Bonnet,MB,260,50.27,-96.06,260,-34,-36,29,23,33,5730,28,103,445,0.7,560,180,1.9,0.2,0.29,0.37,CZ7A,Lac du Bonnet,MB,5730,-34,29,12,15,6,8,8,-17,-13,-6,3,10,16,19,18,13,5,-4,-11
Lynn Lake,MB,350,56.85,-101.05,350,-40,-42,27,19,31,7770,18,86,310,0.6,490,100,2.4,0.2,0.29,0.37,CZ8,Lynn Lake,MB,7770,-40,27,11,11,2,11,11,-24,-20,-13,-3,6,13,16,15,8,-1,-13,-21
Morden,MB,300,49.18,-98.1,300,-31,-33,30,24,34,5400,28,119,420,0.6,520,180,2.2,0.2,0.41,0.52,CZ7A,Morden,MB,5400,-31,30,12,16,7,13,11,-16,-12,-5,5,13,18,20,19,13,6,-4,-12
Neepawa,MB,365,50.23,-99.47,365,-32,-34,29,23,34,5760,28,108,410,0.6,470,180,2.2,0.2,0.35,0.44,CZ7A,Neepawa,MB,5760,-32,29,12,15,6,15,12,-17,-13,-6,3,12,17,19,18,12,5,-5,-14
Pine Falls,MB,220,50.57,-96.22,220,-34,-36,28,23,32,5900,25,97,440,0.7,420,180,1.9,0.2,0.31,0.39,CZ7A,Pine Falls,MB,5900,-34,28,12,16,6,9,9,-19,-15,-7,4,12,16,19,18,12,5,-5,-16
