NBC,,,,,,,,,,,,,,,,,,,,,,,F280,,,,,,,,,,,,,,,,,,,,,
Location,Prov,Elev (m),Latitude,Longitude,Elevation (m),January 2.5% DB (°C),January 1% DB (°C),July 2.5% DB (°C),July 2.5% WB (°C),Future July 2.5% DB (°C),Degree-Days below 18 °C,15 min. Rain (mm),"One day rain, 1/50 (mm)",Annual Rain (mm),Moist Index,Annual total precipitation (mm),"Driving rain wind pressures (Pa), 1/5","S_s Snow Load (kPa), 1/5","S_r Snow Load (kPa), 1/5","Hourly wind pressures (kPa), 1/10","Hourly wind pressures (kPa), 1/50",Climate_Zone,City,Region,DegDay,DHDBT,DCDBT,Strange,OHR,DGTEMP,JanWind,JulWind,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Dease Lake,BC,800,58.44,-130,800,-37,-40,24,15,29,6730,10,45,265,0.6,425,50,2.8,0.1,0.23,0.3,CZ7B,Dease Lake,BC,6730,-37,24,11,7,4,7,7,-14,-12,-5,1,7,11,13,11,7,0,-10,-14
Dog Creek,BC,450,51.58,-122.3,450,-28,-30,29,17,34,4800,10,48,275,0.4,375,100,1.8,0.2,0.27,0.35,CZ6,Dog Creek,BC,4800,-28,29,16,7,6,10,8,-9,-4,0,7,10,14,17,16,14,6,-3,-5
Duncan,BC,10,48.78,-123.7,10,-6,-8,28,19,33,2980,8,103,1000,1.1,1050,180,1.8,0.4,0.31,0.39,CZ4,Duncan,BC,2980,-6,28,14,10,10,4,9,3,4,6,8,12,15,17,17,14,9,5,3
Elko,BC,1065,49.3,-115.12,1065,-28,-31,30,19,35,4600,13,64,440,0.5,650,100,3.6,0.2,0.3,0.4,CZ6,Elko,BC,4600,-28,30,14,9,9,10,8,-7,-3,1,6,11,15,18,18,13,6,-1,-6
Fernie,BC,1010,49.5,-115.07,1010,-27,-30,30,19,35,4750,13,118,860,0.9,1175,100,4.5,0.2,0.3,0.4,CZ6,Fernie,BC,4750,-27,30,15,9,8,10,8,-7,-4,0,5,10,13,16,16,11,5,-1,-6
Fort Nelson,BC,465,58.83,-122.7,465,-39,-42,28,18,32,6710,15,70,325,0.6,450,80,2.4,0.1,0.23,0.3,CZ7B,Fort Nelson,BC,6710,-39,28,12,9,4,4,7,-21,-15,-8,3,10,15,17,15,9,0,-13,-18
Fort St. John,BC,685,56.25,-120.85,685,-35,-37,26,18,31,5750,15,72,320,0.5,475,100,2.8,0.1,0.29,0.39,CZ7A,Fort St. John,BC,5750,-35,26,10,10,5,14,12,-13,-9,-5,4,10,14,16,15,10,3,-7,-10
Glacier,BC,1145,51.27,-117.52,1145,-27,-30,27,17,33,5800,10,70,625,0.8,1500,80,9.4,0.2,0.24,0.32,CZ7A,Glacier,BC,5800,-27,27,12,8,8,10,8,-10,-7,-2,2,6,10,13,13,8,2,-5,-9
Golden,BC,790,51.3,-116.97,790,-27,-30,30,17,36,4750,10,55,325,0.6,500,100,3.7,0.2,0.26,0.35,CZ6,Golden,BC,4750,-27,30,14,7,8,3,5,-10,-5,0,6,11,15,17,17,11,5,-2,-8
Gold River,BC,120,49.78,-126.05,120,-8,-11,31,18,37,3230,13,200,2730,2.8,2850,250,2.8,0.6,0.24,0.32,CZ5,Gold River,BC,3230,-8,31,13,8,11,4,9,1,3,5,8,12,15,18,18,15,9,4,2
Grand Forks,BC,565,49.03,-118.45,565,-19,-22,34,20,39,3820,10,48,390,0.5,475,80,2.8,0.1,0.3,0.4,CZ5,Grand Forks,BC,3820,-19,34,16,9,10,9,8,-5,-1,4,9,13,16,20,19,14,7,1,-4
Greenwood,BC,745,49.1,-118.68,745,-20,-23,34,20,39,4100,10,64,430,0.5,550,80,3.6,0.1,0.3,0.4,CZ6,Greenwood,BC,4100,-20,34,17,9,10,9,8,-8,-3,1,6,10,14,18,17,11,6,0,-5
Hope,BC,40,49.38,-121.44,40,-13,-15,31,20,37,2820,8,139,1825,1.9,1900,140,2.8,0.7,0.47,0.63,CZ4,Hope,BC,3000,-13,31,10,10,11,15,13,2,4,7,10,13,16,19,19,16,10,5,2
Jordan River,BC,20,48.42,-124.05,20,-1,-3,22,17,27,2900,12,170,2300,2.4,2370,250,1.2,0.4,0.44,0.55,CZ4,Jordan River,BC,2900,-1,22,7,10,12,14,10,6,7,8,10,12,13,15,15,14,11,8,6
Kamloops,BC,355,50.67,-120.32,355,-23,-25,34,20,38,3450,13,42,225,0.2,275,80,1.8,0.2,0.3,0.4,CZ5,Kamloops,BC,3450,-23,34,13,9,10,10,10,-3,0,5,10,15,18,21,21,15,8,2,-2
Kaslo,BC,545,49.92,-116.92,545,-17,-20,30,19,35,3830,10,55,660,0.8,850,80,2.8,0.1,0.23,0.31,CZ5,Kaslo,BC,3830,-17,30,13,9,9,10,8,-3,-1,3,7,12,15,18,18,13,7,2,-2
Kelowna,BC,350,49.88,-119.48,350,-17,-20,33,20,38,3400,12,43,260,0.3,325,80,1.7,0.1,0.3,0.4,CZ5,Kelowna,BC,3400,-17,33,15,9,11,5,6,-3,-1,4,8,13,17,19,19,14,7,1,-3
Kimberley,BC,1090,49.68,-115.98,1090,-25,-27,31,18,36,4650,12,59,350,0.4,500,100,3,0.2,0.25,0.33,CZ6,Kimberley,BC,4650,-25,31,16,8,8,6,11,-7,-4,1,6,11,14,18,17,13,6,-2,-7
Kitimat Plant,BC,15,54.05,-128.63,15,-16,-18,25,16,31,3750,13,193,2100,2.2,2500,220,5.5,0.8,0.36,0.48,CZ5,Kitimat Plant,BC,3750,-16,25,10,8,7,5,7,-2,0,4,7,11,14,17,17,13,8,2,-1
Kitimat Townsite,BC,130,54.07,-128.65,130,-16,-18,24,16,30,3900,13,171,1900,2,2300,220,6.5,0.8,0.36,0.48,CZ5,Kitimat Townsite,BC,3900,-16,24,10,8,9,5,7,-3,-1,3,6,10,14,16,16,12,7,2,-1
Ladysmith,BC,80,48.99,-123.82,80,-7,-9,27,19,32,2920,8,97,1075,1.2,1160,180,2.4,0.4,0.32,0.4,CZ4,Ladysmith,BC,3000,-7,27,12,11,11,8,10,3,4,6,9,12,15,18,18,15,10,5,3
Langford,BC,80,48.45,-123.5,80,-4,-6,27,19,33,2750,9,135,1095,1.2,1125,220,1.8,0.3,0.32,0.4,CZ4,Langford,BC,2750,-4,27,10,11,12,10,8,6,6,8,10,12,15,16,16,15,11,8,6
Lillooet,BC,245,50.68,-121.93,245,-21,-23,34,20,39,3400,10,70,300,0.3,350,100,2.1,0.1,0.33,0.44,CZ5,Lillooet,BC,3400,-21,34,13,9,11,14,23,-2,1,5,10,15,19,23,22,17,10,3,-1
Lytton,BC,325,50.23,-121.57,325,-17,-20,35,20,40,3300,10,70,330,0.3,425,80,2.8,0.3,0.32,0.43,CZ5,Lytton,BC,3300,-17,35,12,9,11,14,23,-1,2,6,10,15,18,22,22,17,10,3,-2
Mackenzie,BC,765,55.3,-123.08,765,-34,-38,27,17,33,5550,10,50,350,0.5,650,60,5.1,0.2,0.25,0.32,CZ7A,Mackenzie,BC,5550,-34,27,12,8,5,7,7,-11,-7,-4,3,9,14,15,14,10,3,-4,-8
Masset,BC,10,54.02,-132.1,10,-5,-7,17,15,21,3700,13,80,1350,1.5,1400,400,1.8,0.4,0.5,0.61,CZ5,Masset,BC,3700,-5,17,7,10,10,14,15,1,3,4,6,8,10,13,13,12,9,5,3
McBride,BC,730,53.3,-120.17,730,-29,-32,29,18,36,4980,13,54,475,0.6,650,60,4.3,0.2,0.27,0.35,CZ6,McBride,BC,4980,-29,29,14,8,8,8,6,-7,-4,0,5,9,13,15,15,10,5,-2,-6
McLeod Lake,BC,695,54.98,-123.03,695,-35,-37,27,17,33,5450,10,50,350,0.5,650,60,4.1,0.2,0.25,0.32,CZ7A,McLeod Lake,BC,5450,-35,27,12,8,5,7,7,-11,-7,-4,3,9,14,15,14,10,3,-4,-8
Merritt,BC,570,50.1,-120.78,570,-24,-27,34,20,39,3900,8,54,240,0.2,310,80,1.8,0.3,0.33,0.44,CZ5,Merritt,BC,3900,-24,34,15,9,11,10,10,-4,-1,4,8,12,15,18,18,14,8,1,-4
Mission City,BC,45,49.13,-122.3,45,-9,-11,30,20,36,2850,13,123,1650,1.7,1700,160,2.4,0.3,0.32,0.43,CZ4,Mission City,BC,2850,-9,30,10,11,11,10,8,2,5,7,10,13,15,18,18,16,11,6,3
Montrose,BC,615,49.08,-117.58,615,-16,-18,32,20,37,3600,10,54,480,0.6,700,60,4.1,0.1,0.26,0.35,CZ5,Montrose,BC,3600,-16,32,17,10,10,8,8,-4,-1,3,8,13,17,20,20,14,7,2,-3
Nakusp,BC,445,50.23,-117.8,445,-20,-22,31,20,36,3560,10,60,650,0.8,850,60,4.4,0.1,0.25,0.33,CZ5,Nakusp,BC,3560,-20,31,12,10,9,5,5,-2,0,3,8,12,16,20,19,14,8,2,-1
Nanaimo,BC,15,49.17,-123.93,15,-6,-8,27,19,33,2920,10,91,1000,1.1,1050,200,2.1,0.4,0.38,0.48,CZ4,Nanaimo,BC,3000,-6,27,9,11,11,8,10,2,4,5,8,12,14,18,18,15,10,6,4
Nelson,BC,600,49.48,-117.28,600,-18,-20,31,20,36,3500,10,59,460,0.6,700,60,4.2,0.1,0.25,0.33,CZ5,Nelson,BC,3500,-18,31,13,10,10,10,8,-1,1,4,8,12,16,20,20,15,8,3,-1
Ocean Falls,BC,10,52.35,-127.7,10,-10,-12,23,17,28,3400,13,260,4150,4.2,4300,350,3.9,0.8,0.44,0.59,CZ5,Ocean Falls,BC,3400,-10,23,7,10,8,18,13,1,2,4,6,10,13,15,16,14,9,4,2
Osoyoos,BC,285,49.03,-119.5,285,-14,-17,35,21,40,3100,10,48,275,0.3,310,60,1.1,0.1,0.3,0.4,CZ5,Osoyoos,BC,3100,-14,35,15,10,12,7,6,-1,2,6,11,15,19,23,22,17,10,3,-1
Parksville,BC,40,49.32,-124.33,40,-6,-8,26,19,32,2990,10,91,1200,1.3,1250,200,2,0.4,0.4,0.48,CZ4,Parksville,BC,3200,-6,26,9,11,12,8,10,4,5,6,9,12,15,18,18,14,10,6,3
Penticton,BC,350,49.5,-119.58,350,-15,-17,33,20,38,3350,10,48,275,0.3,300,60,1.3,0.1,0.3,0.4,CZ5,Penticton,BC,3350,-15,33,13,9,11,14,9,-1,1,5,9,14,18,21,20,15,9,3,-1
Port Alberni,BC,15,49.23,-124.8,15,-5,-8,31,19,37,3100,10,161,1900,2,2000,240,2.6,0.4,0.24,0.32,CZ5,Port Alberni,BC,3100,-5,31,13,9,10,4,9,2,3,6,9,12,15,18,18,15,10,5,2
Port Alice,BC,25,50.38,-127.45,25,-3,-6,26,17,31,3010,13,200,3300,3.4,3340,220,1.1,0.4,0.24,0.32,CZ5,Port Alice,BC,3010,-3,26,9,8,11,4,9,4,5,6,8,11,13,16,16,14,10,6,4
Port Hardy,BC,5,50.7,-127.42,5,-5,-7,20,16,25,3440,13,150,1775,1.9,1850,220,0.9,0.4,0.36,0.48,CZ5,Port Hardy,BC,3440,-5,20,7,10,10,15,9,4,4,6,7,10,12,14,14,12,9,6,4
Port McNeill,BC,5,50.58,-127.1,5,-5,-7,22,17,27,3410,13,128,1750,1.9,1850,260,1.1,0.4,0.36,0.48,CZ5,Port McNeill,BC,3410,-5,22,8,10,10,15,9,4,4,5,8,10,12,14,14,13,10,6,4
Port Renfrew,BC,20,48.56,-124.4,20,-3,-5,24,17,29,2900,13,200,3600,3.6,3675,270,1.1,0.4,0.42,0.52,CZ4,Port Renfrew,BC,2900,-3,24,9,9,11,14,10,3,5,6,8,11,13,15,15,13,10,6,4
Powell River,BC,10,49.83,-124.52,10,-7,-9,26,18,32,3100,10,80,1150,1.3,1200,220,1.7,0.4,0.39,0.48,CZ5,Powell River,BC,3100,-7,26,8,10,11,7,7,4,5,7,9,13,16,18,18,16,11,7,4
Prince George,BC,580,53.92,-122.75,580,-32,-36,28,18,34,4720,15,54,425,0.6,600,80,3.4,0.2,0.28,0.37,CZ6,Prince George,BC,4720,-32,28,12,9,6,10,8,-8,-5,0,5,10,14,16,15,10,4,-3,-7
Prince Rupert,BC,20,54.32,-130.32,20,-13,-15,19,15,24,3900,13,160,2750,2.8,2900,240,1.9,0.4,0.43,0.54,CZ5,Prince Rupert,BC,3900,-13,19,6,9,10,14,10,2,3,4,6,9,12,13,14,12,8,4,3
Princeton,BC,655,49.5,-120.51,655,-24,-29,33,19,39,4250,10,43,235,0.4,350,80,2.9,0.6,0.27,0.36,CZ6,Princeton,BC,4250,-24,33,16,8,10,2,7,-5,-3,2,7,11,15,19,18,14,6,-1,-5
Qualicum Beach,BC,10,49.35,-124.45,10,-7,-9,27,19,33,2990,10,96,1200,1.3,1250,200,2,0.4,0.41,0.48,CZ4,Qualicum Beach,BC,3200,-7,27,10,11,10,8,10,3,4,6,8,12,15,17,17,13,9,5,3
Queen Charlotte City,BC,35,53.26,-132.08,35,-6,-8,21,16,25,3520,13,110,1300,1.5,1350,360,1.8,0.4,0.5,0.61,CZ5,Queen Charlotte City,BC,3520,-6,21,5,9,10,17,11,4,4,5,7,9,12,14,15,13,9,6,4
Quesnel,BC,475,52.98,-122.48,475,-31,-33,30,17,36,4650,10,50,380,0.5,525,80,3,0.1,0.24,0.31,CZ6,Quesnel,BC,4650,-31,30,14,7,6,6,5,-7,-4,1,6,11,15,17,16,11,6,-2,-6
Revelstoke,BC,440,50.98,-118.2,440,-20,-23,31,19,36,4000,13,55,625,0.8,950,80,7.2,0.1,0.24,0.32,CZ6,Revelstoke,BC,4000,-20,31,12,9,9,5,5,-4,-2,2,8,13,16,19,18,13,7,1,-3
Salmon Arm,BC,425,50.7,-119.28,425,-19,-24,33,21,38,3650,13,48,400,0.5,525,80,3.5,0.1,0.29,0.39,CZ5,Salmon Arm,BC,3650,-19,33,14,11,10,4,5,-2,0,4,9,13,17,21,20,14,8,2,-2
Sandspit,BC,5,53.25,-131.82,5,-4,-6,18,15,22,3450,13,86,1300,1.5,1350,500,1.8,0.4,0.59,0.72,CZ5,Sandspit,BC,3450,-4,18,5,9,11,22,16,4,4,5,7,9,12,14,15,13,9,6,4
Sechelt,BC,25,49.47,-123.75,25,-6,-8,27,20,33,2680,10,75,1140,1.3,1200,160,1.8,0.4,0.38,0.48,CZ4,Sechelt,BC,2680,-6,27,9,12,12,8,10,4,5,6,9,12,14,17,17,14,10,6,5
Sidney,BC,10,48.65,-123.4,10,-4,-6,26,18,32,2850,8,96,825,1,850,160,1.1,0.2,0.34,0.42,CZ4,Sidney,BC,2850,-4,26,10,10,12,10,8,5,5,7,9,12,15,17,17,14,10,6,4
Smith River,BC,660,59.88,-126.43,500,-29,-31,26,17,30,5040,13,60,325,0.6,500,120,3.5,0.2,0.3,0.4,CZ7A,Smith River,BC,7100,-45,26,11,8,4,5,10,-25,-16,-10,0,7,13,14,13,7,-1,-13,-21
Smithers,BC,500,54.78,-127.17,660,-45,-47,26,17,32,7100,10,64,300,0.6,500,40,2.8,0.1,0.24,0.3,CZ8,Smithers,BC,5040,-29,26,12,8,6,7,6,-8,-4,0,5,9,13,15,14,10,4,-2,-7
Sooke,BC,20,48.38,-123.72,20,-1,-3,21,16,27,2900,9,130,1250,1.4,1280,220,1.3,0.3,0.38,0.48,CZ4,Sooke,BC,2900,-1,21,6,9,11,11,12,5,5,7,8,10,12,14,14,13,9,6,4
Squamish,BC,5,49.7,-123.15,5,-9,-11,29,20,35,2950,10,140,2050,2.1,2200,160,2.8,0.7,0.38,0.5,CZ4,Squamish,BC,2950,-9,29,11,11,11,5,6,2,4,6,9,12,15,18,18,15,9,4,2
Stewart,BC,10,55.93,-129.98,10,-17,-20,25,16,31,4350,13,135,1300,1.5,1900,180,7.9,0.8,0.27,0.36,CZ6,Stewart,BC,4350,-17,25,9,8,8,3,4,-4,-1,2,6,10,14,15,14,11,6,1,-3
Tahsis,BC,25,49.93,-126.65,25,-4,-6,26,18,32,3150,13,200,3845,3.9,3900,300,1.1,0.4,0.26,0.34,CZ5,Tahsis,BC,3150,-4,26,12,10,11,4,9,2,4,6,8,12,15,18,19,15,10,5,2
Taylor,BC,515,56.2,-120.69,515,-35,-37,26,18,31,5720,15,72,320,0.5,450,100,2.3,0.1,0.3,0.4,CZ7A,Taylor,BC,5720,-35,26,13,10,5,14,12,-13,-9,-5,4,10,14,16,15,10,3,-7,-10
Terrace,BC,60,54.52,-128.6,60,-19,-21,27,17,33,4150,13,120,950,1.1,1150,200,5.4,0.6,0.27,0.36,CZ6,Terrace,BC,4150,-19,27,9,8,7,18,12,-3,-1,2,6,10,14,16,16,12,6,1,-2
Tofino,BC,10,49.12,-125.88,10,-2,-4,20,16,25,3150,13,193,3275,3.4,3300,300,1.1,0.4,0.51,0.68,CZ5,Tofino,BC,3150,-2,20,8,10,11,10,9,5,5,6,8,10,12,14,15,13,10,7,5
Trail,BC,440,49.1,-117.7,440,-14,-17,33,20,38,3600,10,54,580,0.7,700,60,4.1,0.1,0.26,0.35,CZ5,Trail,BC,3600,-14,33,14,9,10,8,8,-3,0,4,9,13,17,20,20,15,8,2,-2
Ucluelet,BC,5,48.93,-125.55,5,-2,-4,18,16,23,3120,13,180,3175,3.3,3200,280,1,0.4,0.51,0.68,CZ5,Ucluelet,BC,3120,-2,18,5,11,11,18,13,6,6,7,9,11,13,14,15,14,11,8,6
Burnaby (Simon Fraser Univ.),BC,330,49.28,-122.92,330,-7,-9,25,17,31,3100,10,150,1850,1.9,1950,160,2.9,0.7,0.35,0.47,CZ5,Burnaby (Simon Fraser Univ.),BC,3100,-7,25,7,9,11,12,11,3,4,6,9,12,14,17,17,15,10,5,3
Cloverdale,BC,10,49.1,-122.73,10,-8,-10,29,20,35,2700,10,112,1350,1.4,1400,160,2.5,0.2,0.33,0.44,CZ4,Cloverdale,BC,2700,-8,29,10,11,11,9,7,4,5,8,11,14,16,18,19,16,11,6,3
Haney,BC,10,49.22,-122.6,10,-9,-11,30,20,36,2840,10,134,1800,1.9,1950,160,2.4,0.2,0.33,0.44,CZ4,Haney,BC,2840,-9,30,12,11,11,9,7,2,4,7,9,12,15,18,18,15,10,5,3
Ladner,BC,3,49.08,-123.08,3,-6,-8,27,19,33,2600,10,80,1000,1.1,1050,160,1.3,0.2,0.37,0.46,CZ4,Ladner,BC,2600,-6,27,7,11,12,11,11,4,5,7,10,13,16,18,18,15,10,6,4
Langley,BC,15,49.1,-122.65,15,-8,-10,29,20,35,2700,10,112,1450,1.5,1500,160,2.4,0.2,0.33,0.44,CZ4,Langley,BC,2700,-8,29,11,11,11,9,7,4,5,8,11,14,16,18,19,16,11,6,3
New Westminster,BC,10,49.22,-122.92,10,-8,-10,29,19,35,2800,10,134,1500,1.6,1575,160,2.3,0.2,0.33,0.44,CZ4,New Westminster,BC,2800,-8,29,10,10,11,9,7,2,5,6,9,12,15,18,18,15,11,6,4
North Vancouver,BC,135,49.32,-123.07,135,-7,-9,26,19,32,2910,12,150,2000,2.1,2100,160,3,0.3,0.34,0.45,CZ4,North Vancouver,BC,2910,-7,26,10,11,11,7,8,4,5,7,10,13,15,18,18,15,10,6,3
Richmond,BC,5,49.17,-123.1,5,-7,-9,27,19,33,2800,10,86,1070,1.2,1100,160,1.5,0.2,0.36,0.45,CZ4,Richmond,BC,2800,-7,27,7,11,11,11,11,4,5,7,10,13,16,18,18,15,10,6,4
Surrey (88 Ave & 156 St.),BC,90,49.16,-122.79,90,-8,-10,29,20,35,2750,10,128,1500,1.6,1575,160,2.4,0.3,0.33,0.44,CZ4,Surrey (88 Ave & 156 St.),BC,2750,-8,29,11,11,12,9,7,4,5,8,11,14,16,18,19,16,11,6,3
Vancouver (city hall),BC,40,49.25,-123.12,40,-7,-9,28,20,34,2825,10,112,1325,1.4,1400,160,1.8,0.2,0.34,0.45,CZ4,Vancouver (city hall),BC,2825,-7,28,7,11,11,11,11,3,5,6,9,12,15,18,18,15,10,6,4
Vancouver (Granville & 41 Ave),BC,120,49.23,-123.14,120,-6,-8,28,20,34,2925,10,107,1325,1.4,1400,160,1.9,0.3,0.36,0.45,CZ4,Vancouver (Granville & 41 Ave),BC,2925,-6,28,9,11,12,11,11,3,5,6,9,12,15,18,18,15,10,6,4
West Vancouver,BC,45,49.33,-123.17,45,-7,-9,28,19,34,2950,12,150,1600,1.7,1700,160,2.4,0.2,0.36,0.48,CZ4,West Vancouver,BC,2950,-7,28,9,10,12,5,4,4,5,7,9,12,15,18,18,15,10,6,4
Vernon,BC,405,50.3,-119.27,405,-20,-23,33,20,38,3600,13,43,350,0.4,400,80,2.2,0.1,0.3,0.4,CZ5,Vernon,BC,3600,-20,33,13,9,10,10,12,-3,0,4,9,13,17,21,20,15,8,2,-2
Victoria,BC,10,48.43,-123.37,10,-4,-6,24,17,30,2650,8,91,800,1,825,220,1.1,0.2,0.46,0.57,CZ4,Victoria,BC,2650,-4,24,10,9,12,15,15,6,6,8,10,12,15,16,16,15,11,8,6
