#,Name,a1,b1,cc1,d1,e1,f1,g1,h1,i1,j1,q2,rr2,u2,v2,w2,x2,s2,t2,y2,a2,b2,cc2,d2,e2,f2,g2,h2,a3,b3,cc3,e3,f3,g3,h3,i3,a4,b4,cc4,CCF,iUnInsul,WalkSlab,iFndFlag_1,iFndFlag_2,iFndFlag_3,iFndFlag_4,iFndFlag_5,iFndFlag_6,iFndFlag_7,iFndFlag_8
93,BCCA_7,0.0921,0.371,0.0483,0.962,1,1,1,1,0,0.0301,0.528,-0.0338,0.66,0.62,-3.895,0.73,0.591,0.0067,-0.128,3.058,0.218,0.535,0.282,0.28,0.0564,0.033,0,0.000966,-0.0188,-0.0117,0.0272,0.246,0.138,0.665,0,2.069,0.693,0.272,6,9,61,0,0,0,0,0,1,1,1
94,BCCA_8,0.0246,0.397,0.0378,1.0996,1,1,1,1,0,0.107,0.846,-0.0468,0.568,0.62,-3.49,0.73,0.708,0.0072,-0.16,3.464,0.13,0.546,0.315,0.17,0.0371,0.0265,0,0.0918,0.0536,-0.0562,0.0973,0.175,0.0687,0.775,0,2.426,0.363,0.5,8,9,61,0,1,0,0,0,1,1,1
95,BCCN_4,0.0423,0.383,0.0442,0.975,1,1,1,1,0,0.0766,8.141,-0.456,0.0831,0.62,-2.771,0.73,1.303,-0.0032,-0.298,8.005,0.192,0.815,0.575,0.0352,-0.0122,0.0152,0,0.0726,0.32,-0.0967,-0.0157,0.0728,0.156,0.805,0,2.441,0.338,0.492,3,9,29,0,0,0,0,0,1,1,0
96,BCCN_5,0.00913,0.406,0.0271,1.115,1,1,1,1,0,0.128,0.243,0.341,0.169,0.62,0.723,0.5,-0.0249,0.0232,0.177,0.993,0.46,0.319,0.451,4.253,-0.12,-1.519,0,0.13,0.322,-0.166,0.0786,0.0454,0.115,0.864,0,2.3,0.484,0.383,5,9,29,0,1,0,0,0,1,1,0
97,BCEA_5,-0.0835,0.745,0.0079,0.875,1,1,1,1,0,0.352,-0.09,0.0654,3.141,0.62,-0.0455,0.5,-0.226,0.0119,0.35,1.497,0.468,0.741,0.0991,0.498,0.00054,-0.15,0,-0.438,0.312,0.445,0.309,0.135,-0.107,0.746,0,2.871,0.0602,1.619,8,9,61,1,0,0,0,0,0,1,1
98,BCEA_6,-0.0386,0.763,0.004,0.886,1,1,1,1,0,0.1189,0.726,0.175,0.125,0.62,-0.015,0.5,-0.218,0.0157,0.104,2.171,0.00967,0.479,0.383,0.271,0.375,-0.105,0,-0.439,0.312,0.446,0.306,0.135,-0.1,0.746,0,2.871,0.0614,1.553,8,10,60,0,0,0,0,0,0,1,1
99,BCEB_4,-0.0381,0.764,0.00259,0.888,1,1,1,1,0,0.12,-0.00589,0.0149,0.592,0.62,3.604,0.5,-0.226,0.0199,0.0877,2.162,0.363,0.554,0.31,0.534,0.149,-0.04,0,0.141,0.0978,-0.0961,0.0435,0.198,0.221,0.681,0,2.148,0.753,0.123,8,10,52,0,1,0,0,0,0,1,1
100,BCEB_5,-0.0376,0.764,0.0018,0.888,1,1,1,1,0,0.12,0.189,0.354,0.197,0.62,0.663,0.5,-0.0263,0.0223,0.183,0.782,0.693,0.348,0.222,2.819,-0.0472,-0.924,0,0.129,0.304,-0.17,0.0408,0.0863,0.256,0.729,0,1.127,1.751,0.0823,5,10,34,0,1,0,0,0,0,1,1
101,BCEB_6,-0.0377,0.765,0.00192,0.888,1,1,1,1,0,0.12,0.0382,0.345,0.213,0.62,0.666,0.5,-0.0343,0.0229,0.179,0.792,0.632,0.354,0.195,2.635,-0.0234,-0.848,0,0.121,0.273,-0.156,0.0478,0.0938,0.253,0.729,0,0.158,2.721,0.0534,5,10,44,0,1,0,0,0,0,1,1
102,BWIA_1,-0.0132,0.649,0.00323,0.8041,1,1,1,1,0,0.00202,-0.07,0.0924,0.577,0.62,1.153,0.5,-0.039,0.0188,0.127,0.594,0.703,0.344,0.0736,0.878,0.109,-0.163,0,0.0749,0.0856,-0.075,0.0295,0.1,0.24,0.643,0,3.642,-0.819,-0.217,3,13,105,0,0,0,1,1,1,0,1
